name,game_date,period,toulan_cengong,x,y
Zaza Pachulia,10/25/16,3,1,12,7
Anthony Davis,10/26/16,1,0,0,1
Anthony Davis,10/26/16,1,1,0,1
Cody Zeller,10/26/16,1,1,0,2
Nicolas Batum,10/26/16,2,0,0,7
J.J. Barea,10/26/16,2,1,12,0
Eric Gordon,10/26/16,4,0,11,11
Anthony Davis,10/26/16,4,1,1,23
Anthony Davis,10/26/16,1,1,0,1
Jonas Valanciunas,10/26/16,1,1,0,1
DeMar DeRozan,10/26/16,3,1,0,1
Jonas Valanciunas,10/26/16,2,1,0,1
J.J. Barea,10/26/16,2,1,-11,21
Eric Gordon,10/26/16,2,1,0,1
Jonas Valanciunas,10/26/16,2,1,9,28
J.J. Barea,10/26/16,1,1,-4,2
DeMar DeRozan,10/26/16,1,1,45,18
Marvin Williams,10/26/16,1,1,110,72
DeMar DeRozan,10/26/16,3,0,48,21
DeMar DeRozan,10/26/16,1,1,9,41
DeMarre Carroll,10/26/16,3,0,45,11
Kyle Lowry,10/26/16,4,0,56,43
DeMar DeRozan,10/26/16,3,1,14,46
Cory Joseph,10/26/16,2,0,-38,90
Kemba Walker,10/26/16,1,1,46,36
Jonas Valanciunas,10/26/16,3,1,19,21
Kyle Lowry,10/26/16,4,0,25,27
Jeremy Lin,10/26/16,4,1,9,-6
Jeremy Lin,10/26/16,2,0,-11,3
Jonas Valanciunas,10/26/16,4,1,9,38
J.J. Barea,10/26/16,2,0,28,-1
J.J. Barea,10/26/16,3,0,4,3
J.J. Barea,10/26/16,3,0,42,2
Cory Joseph,10/26/16,4,1,-7,0
DeMar DeRozan,10/26/16,3,1,38,7
Eric Gordon,10/26/16,2,1,10,26
DeMar DeRozan,10/26/16,1,1,42,13
Deron Williams,10/26/16,2,0,9,2
Deron Williams,10/26/16,5,0,4,31
Jeremy Lin,10/26/16,1,1,6,11
Cory Joseph,10/26/16,2,1,4,0
Deron Williams,10/26/16,4,0,-6,16
DeMar DeRozan,10/26/16,1,1,22,3
Wesley Matthews,10/26/16,2,0,-11,-1
Eric Gordon,10/26/16,3,1,13,8
J.J. Barea,10/26/16,2,1,-19,0
